Isaxs=       1
   Rg=  26.63
  8.65    9405    5995    1650    1750      45    3709    1041    1061      44     282     276       7     308       2       0
  8.75    9409    5830    1716    1848      54    3885    1110    1137      29     269     271       6     341      11       1
  8.85    9618    6141    1779    1841      58    3745    1114    1129      31     264     269       7     294      15       0
  8.95    9869    6390    1834    1784      39    3869    1071    1085      32     303     323       7     325       7       0
  9.05   10069    6393    1743    1789      56    4087    1146    1136      27     310     321      10     328       7       0
  9.15   10251    6405    1781    1860      73    4009    1156    1205      31     320     329      11     337      12       1
  9.25   10516    6653    1822    1900      58    4171    1129    1166      31     322     357      10     380       9       0
  9.35   10850    6642    1904    1915      57    4353    1184    1214      35     355     374      13     370      11       0
  9.45   10999    6731    1864    1972      60    4436    1140    1239      44     400     339      11     346      12       0
  9.55   10954    6916    1940    1968      57    4391    1232    1249      41     381     354      13     362      11       0
  9.65   11225    7202    1983    1977      58    4511    1233    1295      46     366     380      12     414      12       1
  9.75   11479    7260    1923    2076      62    4795    1327    1238      37     356     348       7     407      18       0
  9.85   11366    7416    2071    2150      58    4840    1333    1310      29     363     359      10     430      13       1
  9.95   11902    7679    2130    2150      60    4890    1314    1274      39     391     389       8     410       9       1
 10.05   12185    7737    2099    2152      69    4950    1430    1310      36     371     330       7     425      13       2
 10.15   12261    7794    2190    2176      81    5021    1442    1388      45     370     351      13     406      11       0
 10.25   12502    7859    2239    2249      71    5042    1432    1428      42     398     368      10     420       6       0
 10.35   12727    8092    2248    2287      67    5204    1446    1459      43     437     400      11     416      12       0
 10.45   12928    8076    2238    2339      71    5274    1489    1404      53     381     401       7     440      11       0
 10.55   13215    8113    2364    2367      75    5413    1556    1549      48     442     383       9     440       9       0
 10.65   13482    8475    2340    2377      75    5542    1572    1618      44     477     440      11     489      12       0
 10.75   13402    8459    2368    2518      78    5486    1602    1569      46     437     424      10     431      10       1
 10.85   13726    8903    2543    2470      69    5760    1529    1550      37     420     410       7     467      10       0
 10.95   13722    9047    2424    2423      76    5663    1606    1608      46     418     446      12     461      16       2
 11.05   14127    8839    2623    2438      81    5865    1633    1596      58     443     457      12     512      18       1
 11.15   14189    9094    2505    2609      84    5665    1586    1611      46     483     516      14     462      10       2
 11.25   14443    9283    2499    2613      64    5882    1608    1662      55     487     520      13     445      13       0
 11.35   14414    9260    2665    2604      71    5966    1662    1723      53     445     505      20     473      14       0
 11.45   14797    9400    2627    2630      68    6043    1703    1746      65     503     508      14     477      12       0
 11.55   15198    9638    2597    2866     102    6158    1786    1798      52     483     479       8     483      21       0
 11.65   15154    9911    2726    2863      90    6202    1688    1829      48     439     419      13     523      12       0
 11.75   15176    9742    2803    2792      90    6240    1807    1829      50     466     503      19     515      14       1
 11.85   15592    9885    2704    2834      68    6331    1753    1912      47     494     503      17     516      15       1
 11.95   15940    9991    2886    2878      81    6335    1756    1821      48     525     527      10     552      22       0
 12.05   16133   10236    2815    2902      72    6453    1851    1924      53     476     557      16     546      27       0
 12.15   16339   10268    2784    2961     107    6469    1835    1809      65     557     568      13     558      24       0
 12.25   16419   10505    2844    3070      99    6651    1896    1778      42     566     545      20     579      12       2
 12.35   16672   10763    2935    3097      82    6631    1795    1917      46     538     551      16     569      23       1
 12.45   16915   10725    3001    3034      81    6776    1897    1977      52     576     533      13     560      13       0
 12.55   16999   10674    3023    3106      82    6779    1889    1985      56     546     600      14     567      15       1
